Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,6,24,14,21,38.9111345607,968.3526611328,37.924568379,247.0516204834,5.1768927574,805,
2011,6,24,15,21,38.7036383136,968.0338745117,37.8983219133,247.2126617432,5.1146440506,668,
2011,6,24,16,21,38.0579654567,968.1298217773,38.5772440924,244.3527832031,5.0200605392,458,
2011,6,24,17,21,36.9620599256,968.2619018555,40.9636105291,237.9965515137,4.9724602699,274,
2011,6,24,18,22,35.3378252004,968.7621459961,46.5189090203,230.6558532715,5.083753109,85,
2011,6,24,19,22,33.9725963362,969.6931152344,51.6806555317,226.7633209229,5.4846158028,0,
2011,6,24,20,22,32.9856451783,970.083190918,55.6389002696,226.0634613037,5.6538167,0,
2011,6,24,21,23,32.0701310014,969.9155273438,59.4143905162,227.1148681641,5.6401176453,0,
2011,6,24,22,23,31.2884345882,969.6708374023,62.6323081774,229.1299591064,5.6245307922,0,
2011,6,24,23,23,30.596403489,969.0650634766,65.7610185042,230.8877716064,5.604072094,0,
2011,6,25,0,23,29.9273664606,968.3243408203,68.8338521626,231.7945251465,5.5268273354,0,
2011,6,25,1,23,29.359215713,968.0065307617,71.8884377776,232.1358795166,5.4159531593,0,
2011,6,25,2,23,28.7696978281,968.0178833008,75.0817586665,230.8492736816,5.2650203705,0,
2011,6,25,3,24,28.2386164359,968.3526611328,78.1714483813,229.4235687256,5.14610672,0,
2011,6,25,4,24,27.8302595553,968.7034301758,80.7903282223,228.9239349365,5.0394730568,0,
2011,6,25,5,24,27.6896685747,969.3657836914,82.0538275876,228.8720245361,4.9105448723,0,
2011,6,25,6,24,28.6798136013,970.0257568359,77.8388418935,229.7248382568,4.8786458969,24,
2011,6,25,7,24,30.2992292107,970.6616210938,69.8047388705,232.5303344727,4.9833350182,199,
2011,6,25,8,23,32.3602805577,970.6190185547,61.3686883503,232.8798828125,4.727399826,409,
2011,6,25,9,23,34.6691290267,970.5866088867,53.830431036,232.2661590576,4.363764286,590,
2011,6,25,10,23,36.8238373887,969.9379272461,46.9167416167,232.063369751,3.9732875824,747,
2011,6,25,11,23,38.6917254365,969.5252685547,41.1465638787,232.0766143799,3.651078701,866,
2011,6,25,12,22,40.3965330216,968.4098510742,36.1574274036,231.5245819092,3.4152109623,866,
2011,6,25,13,21,41.6086488673,967.5349731445,32.5613934057,231.4108886719,3.2255952358,889,
2011,6,25,14,21,42.0684435606,966.9057006836,30.5339845605,232.1132965088,3.0189530849,757,
2011,6,25,15,20,41.566732535,966.7886352539,30.6809721221,230.5852813721,2.815871954,518,
2011,6,25,16,20,40.321203831,966.4763183594,32.6969137572,224.4674835205,2.6610250473,453,
2011,6,25,17,20,38.6771716912,966.8815307617,35.4232579919,214.6168823242,2.7250888348,225,
2011,6,25,18,21,36.8351465324,967.58984375,42.2748600768,206.9845581055,3.0967462063,59,
2011,6,25,19,22,35.6562129233,968.2933349609,46.1927537503,206.7224731445,3.7170789242,0,
2011,6,25,20,22,34.7751445947,968.4408569336,48.1341840905,210.2964630127,4.3697552681,0,
2011,6,25,21,22,33.9319515967,968.6951293945,50.9415251348,214.4004516602,4.8706016541,0,
2011,6,25,22,22,33.0552439752,968.6813964844,54.3838309661,217.7469177246,5.1701259613,0,
2011,6,25,23,22,32.2153592307,968.6193237305,58.3230106499,219.7794342041,5.2929601669,0,
2011,6,26,0,23,31.375908218,968.2124023438,62.5091509765,220.8534088135,5.2490763664,0,
2011,6,26,1,23,30.6127996677,967.8595581055,66.251485247,221.4273223877,5.1115379333,0,
2011,6,26,2,23,29.8628652092,967.7432861328,69.5022643184,222.9518432617,5.001095295,0,
2011,6,26,3,23,29.1499647559,967.9567260742,72.5515039311,224.1823425293,4.852060318,0,
2011,6,26,4,23,28.5657876103,968.5476074219,75.0692755202,224.3913879395,4.6021642685,0,
2011,6,26,5,23,28.2609958763,969.2661743164,76.5188740889,223.1297912598,4.1358237267,0,
2011,6,26,6,23,29.306199932,970.3775634766,72.0606947647,221.4716796875,3.7814023495,28,
2011,6,26,7,23,31.0781747604,970.7962036133,64.9605114161,218.0984039307,3.4080207348,193,
2011,6,26,8,23,32.9650428573,971.1873779297,58.4969994577,212.6453857422,2.9644474983,409,
2011,6,26,9,23,35.1731632446,971.0724487305,52.2940586205,205.9956054688,2.6738762856,590,
2011,6,26,10,23,36.6952521109,970.5107421875,47.7521218993,200.7004699707,2.5325295925,710,
2011,6,26,11,23,37.8445121018,970.0589599609,44.0141280034,198.810546875,2.4567234516,735,
2011,6,26,12,23,38.7821319716,969.0792236328,41.0448504804,197.4849853516,2.4385256767,866,
2011,6,26,13,22,39.3362399022,968.4136352539,38.8172907773,195.1525268555,2.51242733,824,
2011,6,26,14,22,39.3435019502,967.8332519531,37.9344508894,188.7631530762,2.5420999527,662,
2011,6,26,15,22,38.6260727357,967.8084106445,38.7936909147,179.8569335938,2.5629732609,438,
2011,6,26,16,21,37.5878991981,968.1566162109,40.4936709046,173.1839752197,2.6600284576,257,
2011,6,26,17,22,36.4444970921,968.4166259766,43.6666360779,170.4661560059,2.7088603973,126,
2011,6,26,18,23,35.2158475568,969.2658081055,49.6694066563,171.5763397217,2.8993031979,40,
2011,6,26,19,23,34.3613191752,969.9476928711,53.2094872932,175.4649963379,3.3142719269,0,
2011,6,26,20,23,33.6141848088,970.4949951172,55.3562917413,182.7831115723,3.7735741138,0,
2011,6,26,21,23,32.7760842231,970.6043701172,58.2596549512,191.0542907715,4.1447281837,0,
2011,6,26,22,23,31.9090750256,970.3675537109,61.7092664102,199.3376464844,4.3327283859,0,
2011,6,26,23,23,31.0102960568,969.9763183594,65.9090532932,207.1217041016,4.3389191628,0,
2011,6,27,0,24,30.2695137245,969.7793579102,69.75199892,212.8597717285,4.2317051888,0,
2011,6,27,1,24,29.6658059776,969.0157470703,72.9425241113,216.8112792969,4.1115241051,0,
2011,6,27,2,24,29.2171990693,968.7191772461,75.0231896359,220.5471038818,4.0556364059,0,
2011,6,27,3,24,28.7706170229,968.9989013672,77.2066912959,223.6650238037,3.9174458981,0,
2011,6,27,4,24,28.4335683719,969.5177612305,78.9559911211,226.4351806641,3.688031435,0,
2011,6,27,5,24,28.3501543289,969.9606323242,79.5156697583,228.9878692627,3.4315881729,0,
2011,6,27,6,24,29.3652592289,970.7416992188,74.6383896752,231.2580718994,3.4777843952,28,
2011,6,27,7,24,30.8453215852,971.1264038086,67.3875412975,232.7161712646,3.5876111984,192,
2011,6,27,8,24,32.2089053211,971.5796508789,62.3784282903,230.7095336914,3.3630764484,325,
2011,6,27,9,24,34.0538827374,971.3002929688,56.1147536796,226.9920349121,3.1542289257,577,
2011,6,27,10,23,35.6558024641,971.0416259766,50.4367651757,224.0569763184,3.0433444977,722,
2011,6,27,11,23,37.2004760146,970.0277709961,45.3175834667,223.0528411865,2.9205856323,714,
2011,6,27,12,22,38.4709944672,969.2386474609,41.0454508344,222.2400817871,2.8039815426,860,
2011,6,27,13,22,39.1531705313,968.3591308594,38.3754868043,221.6329040527,2.7681200504,611,
2011,6,27,14,22,39.2700717002,967.8231201172,37.3806901184,220.5729064941,2.6979048252,576,
2011,6,27,15,21,38.7142125331,967.5505981445,37.9831473157,217.6530303955,2.566388607,432,
2011,6,27,16,21,37.4725066332,967.7095947266,40.5294845081,212.9749298096,2.5006394386,376,
2011,6,27,17,21,35.8017883146,968.0749511719,44.8382159044,207.067565918,2.5046432018,123,
2011,6,27,18,22,34.3731699639,968.9063110352,51.2073214342,203.467086792,2.7019131184,26,
2011,6,27,19,23,33.3974531979,969.4429321289,56.001662736,201.3410339355,3.0851044655,0,
2011,6,27,20,23,32.5194199585,969.8703613281,59.7782395924,202.6959533691,3.3553612232,0,
2011,6,27,21,24,31.6979336191,970.1142578125,63.8906665139,204.9387817383,3.5346469879,0,
2011,6,27,22,24,30.8962940193,970.3707885742,68.3053155902,207.510925293,3.6278853416,0,
2011,6,27,23,24,30.2141768875,969.7875366211,72.2060407816,211.4143066406,3.6883604527,0,
2011,6,28,0,24,29.6866334931,969.2653198242,75.3948592311,216.1954956055,3.6880064011,0,
2011,6,28,1,25,29.3086931039,968.7293701172,77.7805971353,221.1265258789,3.6322629452,0,
2011,6,28,2,25,28.9947862791,968.503112793,79.8380512826,224.0436859131,3.680472374,0,
2011,6,28,3,25,28.6984654281,968.4150390625,81.7518711657,225.9663696289,3.7273800373,0,
2011,6,28,4,25,28.523562702,968.3634033203,83.2274971057,228.0682067871,3.6503064632,0,
2011,6,28,5,25,28.4863312567,968.8920898438,84.3258204161,228.571762085,3.4630181789,0,
2011,6,28,6,25,29.1751563865,969.5679321289,82.0315822298,228.4394226074,3.3341577053,38,
2011,6,28,7,25,30.4399083079,969.7214355469,76.5072206451,231.6936645508,3.5265264511,186,
2011,6,28,8,25,31.6701745207,970.0439453125,71.4423362671,235.0168609619,3.64615798,331,
2011,6,28,9,25,32.5460275807,970.3341674805,68.3415345824,236.0936431885,3.5510122776,500,
