Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,GHI
2012,10,25,1,9,19.1969526775,985.1640625,51.801236567,61.039226532,2.6796793938,0
2012,10,25,2,8,18.8083009574,984.8617553711,52.2987477136,65.4635314941,2.5015172958,0
2012,10,25,3,8,18.4845685259,984.6351318359,52.9176865123,69.577041626,2.2951626778,0
2012,10,25,4,8,18.214078258,984.4871826172,53.4805850131,73.3068771362,2.1217865944,0
2012,10,25,5,8,17.9621402614,984.9060668945,54.019288123,77.688117981,1.987355113,0
2012,10,25,6,8,17.9416017194,985.1661376953,54.9294648858,82.6035690308,1.8725451231,0
2012,10,25,7,11,20.4629195895,985.5231933594,55.0899721923,86.8725509644,1.758199811,97
2012,10,25,8,9,22.8228401626,985.973815918,41.5558334358,89.5795669556,1.4832589626,310
2012,10,25,9,11,25.859972859,985.9569091797,39.7406364938,92.2859725952,1.1788018942,505
2012,10,25,10,11,29.5897947101,985.8302001953,31.7743508236,56.8330039978,0.8715016246,650
2012,10,25,11,9,31.3895552494,984.8209838867,26.2525546435,19.526512146,1.0393456221,743
2012,10,25,12,9,32.083634401,983.7953491211,25.415554848,7.8357009888,0.9766173363,767
2012,10,25,13,9,32.1456122956,982.8236694336,25.4454873126,357.3734436035,0.8618934751,726
2012,10,25,14,9,31.5848230964,982.077331543,26.0834138734,0.1543731689,0.838953793,612
2012,10,25,15,10,30.4105812005,981.6690673828,29.0996154431,15.9606323242,0.8474651575,453
2012,10,25,16,8,28.3577259999,981.8695678711,29.3296194769,35.7445640564,0.9389132261,239
2012,10,25,17,12,25.5030812952,981.8016357422,45.5774571919,59.7691383362,1.1544898748,33
2012,10,25,18,11,24.7221500849,982.469909668,42.1626334192,78.1744537354,1.5239166021,0
2012,10,25,19,10,23.8037285977,983.108581543,43.994062731,90.1136550903,1.9203335047,0
2012,10,25,20,10,22.8781566405,983.4016723633,45.6545877703,102.2296524048,2.2008528709,0
2012,10,25,21,9,21.9824596902,983.3630371094,46.269115264,113.1354904175,2.4471199512,0
2012,10,25,22,9,21.1438771484,983.4376831055,47.5665681051,121.4635772705,2.6215155125,0
2012,10,25,23,9,20.4272876355,983.1350708008,48.9869312154,127.5000534058,2.730848074,0
2012,10,26,0,9,19.7478628574,982.7904663086,50.6916966255,131.584777832,2.7934217453,0
2012,10,26,1,9,19.1590601092,982.6003417969,52.3912437168,134.4617614746,2.7988302708,0
2012,10,26,2,9,18.6515441732,982.5093383789,54.1035655543,139.1176147461,2.716196537,0
2012,10,26,3,9,18.1894537338,982.5369873047,55.6033788719,144.0281982422,2.6304621696,0
2012,10,26,4,9,17.7890994468,982.5888061523,56.6858474891,148.0786132813,2.5750067234,0
2012,10,26,5,9,17.4391549295,982.927734375,57.6829530612,152.0941162109,2.5269608498,0
2012,10,26,6,9,17.335170676,983.572265625,58.7764981425,155.5137939453,2.4691593647,0
2012,10,26,7,11,19.6329220251,984.0559082031,58.8066967248,158.3311767578,2.3743720055,95
2012,10,26,8,10,22.1898407638,984.4483642578,48.5845776914,153.9902191162,2.0230154991,302
2012,10,26,9,12,25.3901502362,984.9304199219,46.1033696938,143.7058868408,1.6122684479,496
2012,10,26,10,12,29.5235326803,984.9407348633,36.135186017,138.1296081543,1.2359961271,651
2012,10,26,11,11,31.7015172655,984.6417236328,29.6573184284,126.4248657227,0.9386620522,745
2012,10,26,12,11,32.5302574676,983.9069213867,28.3604510156,105.0182189941,0.878890574,769
2012,10,26,13,11,32.5833373642,983.382019043,28.1603262326,87.4181747437,0.9961642623,728
2012,10,26,14,11,31.999075478,983.2509155273,28.948302621,77.4931716919,1.1856566668,614
2012,10,26,15,12,30.8067142977,982.8000488281,32.2276277907,74.0897979736,1.4402902126,448
2012,10,26,16,12,28.976144048,982.7213134766,37.3784133523,75.524230957,1.7611651421,234
2012,10,26,17,14,26.1278273558,982.7631835938,47.9421232765,79.9023284912,2.143476963,30
2012,10,26,18,13,24.7456386813,983.3890380859,50.2106043145,85.5984115601,2.5378959179,0
2012,10,26,19,13,23.8117824341,983.8267211914,51.1695595677,91.3392105103,2.8645620346,0
2012,10,26,20,12,22.8882319655,984.1000366211,52.8108364114,98.1940994263,3.1264846325,0
2012,10,26,21,12,21.9971249414,984.5168457031,54.8388515173,104.9603500366,3.3082094193,0
2012,10,26,22,12,21.1441358805,984.9091186523,57.2869079786,111.3966598511,3.4040803909,0
2012,10,26,23,12,20.3428798553,984.8439331055,60.0370841818,117.4308853149,3.4227752686,0
2012,10,27,0,12,19.592867174,984.7150268555,62.7272711642,122.4574432373,3.3977057934,0
2012,10,27,1,12,18.9208807566,984.4296875,65.106335981,126.2855529785,3.3363316059,0
2012,10,27,2,12,18.3563147062,984.5758666992,67.2689450601,130.1897583008,3.0925254822,0
2012,10,27,3,12,17.8874732986,984.2985839844,68.7010499825,134.0004272461,2.9018361568,0
2012,10,27,4,11,17.4974243534,984.5307006836,69.6063642544,136.5257568359,2.8355844021,0
2012,10,27,5,11,17.1683770306,984.6520996094,70.1114635891,138.1894683838,2.8178620338,0
2012,10,27,6,11,17.0781344262,985.0496826172,70.5481633889,139.6127471924,2.7874696255,0
2012,10,27,7,13,19.242592225,985.7523803711,67.5541456897,140.8097229004,2.6786057949,92
2012,10,27,8,13,22.0152554697,986.2138061523,57.6803722778,138.3115997314,2.2012901306,299
2012,10,27,9,15,25.6367067264,986.717956543,53.1717094244,132.9754333496,1.5841075182,497
