Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Temp
2011,9,7,4,0,26,26.7225843679,976.1753540039,98.0124797796,6.0679397583,2.9517314434,
2011,9,7,5,0,26,26.6706726898,976.3954467773,98.0670849196,9.1402816772,3.0617802143,
2011,9,7,6,0,26,26.7822140995,977.1100463867,97.7552686516,13.7735977173,3.1091969013,
2011,9,7,7,111,26,27.2032805487,977.2864379883,96.9251633701,18.7986984253,3.0430662632,
2011,9,7,8,233,26,27.9958207749,977.565612793,94.2165779052,21.0809860229,2.9117436409,
2011,9,7,9,419,27,28.9301174357,977.7782592773,89.4490769516,26.5826034546,2.7957696915,
2011,9,7,10,612,27,29.6899126389,977.3405761719,86.4740662825,34.4337539673,2.5538239479,
2011,9,7,11,633,27,30.2445892919,976.6276855469,84.2666119945,38.9141387939,2.1976459026,
2011,9,7,12,341,27,30.5596826095,975.833190918,83.069178965,34.851890564,1.7754135132,
2011,9,7,13,815,27,30.6409984773,975.2791137695,82.5090977077,13.6092758179,1.368512392,
2011,9,7,14,249,27,30.4177099881,974.9096069336,82.3593291195,341.709197998,1.4090230465,
2011,9,7,15,414,26,29.9984431283,974.8751220703,82.7362190253,322.9337158203,1.8947974443,
2011,9,7,16,355,26,29.4946104435,975.467956543,84.8531448821,316.2841796875,2.2805514336,
2011,9,7,17,140,26,28.9136312755,975.8401489258,88.5052830302,313.6798706055,2.5234632492,
2011,9,7,18,10,26,28.3671106246,976.4065551758,91.0161747254,309.6873779297,2.668484211,
2011,9,7,19,0,26,28.0378580902,976.9677124023,92.7683839413,305.8188781738,2.6844506264,
2011,9,7,20,0,26,27.7553430617,977.5776367188,94.2953692778,303.8784790039,2.5968596935,
2011,9,7,21,0,26,27.5374491699,977.5682373047,95.280580611,300.7926940918,2.448513031,
2011,9,7,22,0,26,27.3246513753,977.1995849609,96.0765689478,294.7742614746,2.3695001602,
2011,9,7,23,0,26,27.0654176971,976.7551879883,97.1445010368,288.7466430664,2.4052970409,
2011,9,8,0,0,26,26.9062633493,976.4313354492,97.5042159724,286.0865783691,2.3875422478,
2011,9,8,1,0,26,26.8210996357,975.8469238281,97.6726792953,284.684173584,2.2982287407,
2011,9,8,2,0,26,26.7327489545,975.7230834961,97.9073296743,279.2821044922,2.1721434593,
2011,9,8,3,0,26,26.7177680472,975.5885009766,97.8428592186,270.7437133789,2.135850668,
2011,9,8,4,0,26,26.6906077325,976.0108642578,97.9091040359,264.9272460938,2.190977335,
2011,9,8,5,0,26,26.6504787249,976.6234130859,98.0728847548,261.801361084,2.2251956463,
2011,9,8,6,0,26,26.6963322108,977.2924194336,97.8702683377,258.6365661621,2.1910638809,
2011,9,8,7,121,26,26.9497075205,977.9815673828,97.5439966604,253.162979126,2.1024241447,
2011,9,8,8,328,26,27.4441136315,978.5739746094,95.2582370366,248.0781860352,2.1341400146,
2011,9,8,9,479,26,28.0033869823,979.024597168,93.0381237198,241.8610229492,2.1525173187,
2011,9,8,10,490,26,28.5827687276,978.6973266602,90.1883169733,233.9686126709,2.1791012287,
2011,9,8,11,826,26,29.1704521516,977.9637451172,87.2320055532,227.0535888672,2.1806442738,
2011,9,8,12,660,26,29.4826170342,977.0897216797,84.12434199,223.093536377,2.080602169,
2011,9,8,13,773,26,29.6121750003,976.3354492188,84.2226657493,224.8633575439,2.0652968884,
2011,9,8,14,263,26,29.7323682329,975.7685546875,82.8741163578,233.191192627,1.9072231054,
2011,9,8,15,648,26,29.5215013457,975.4606933594,82.3778924142,242.8243865967,1.6573207378,
2011,9,8,16,458,26,29.2107257454,975.7543334961,83.2383999288,251.9078521729,1.3006471395,
2011,9,8,17,195,26,28.9096563594,976.2392578125,85.1645797141,246.5254364014,0.8789866567,
2011,9,8,18,26,26,28.5811365851,976.6196899414,86.403419882,214.3832397461,0.7347552776,
2011,9,8,19,0,25,28.3033357481,977.2358398438,86.0297558491,188.2837982178,1.0824478865,
2011,9,8,20,0,25,27.9430301353,977.6814575195,88.2192714448,182.3855285645,1.7223231792,
2011,9,8,21,0,25,27.5879414124,978.1957397461,89.5239960195,182.4859771729,2.3546123505,
2011,9,8,22,0,25,27.203524967,978.3552246094,91.3777966697,184.1421508789,2.8145871162,
2011,9,8,23,0,25,26.8609933859,978.3878173828,93.4366974431,186.888961792,3.1071166992,
2011,9,9,0,0,25,26.594209319,978.1624755859,95.0803568117,190.6949768066,3.3283908367,
2011,9,9,1,0,25,26.3985299315,977.9073486328,96.4755111211,194.6700744629,3.4755775928,
2011,9,9,2,0,25,26.2726757357,977.7253417969,97.198777538,196.7263183594,3.502263546,
2011,9,9,3,0,25,26.2316456431,977.7684936523,97.589280831,198.217376709,3.5691213608,
2011,9,9,4,0,25,26.1534888394,978.1108398438,97.802003985,198.9486083984,3.7130458355,
2011,9,9,5,0,25,26.0893569821,978.803894043,97.2460028989,198.4171142578,3.8743793964,
2011,9,9,6,0,25,26.0710901595,979.424987793,95.6851902256,197.1582489014,3.9930613041,
2011,9,9,7,140,25,26.5917752901,980.3549804688,92.0909724028,196.3202514648,4.095995903,
2011,9,9,8,263,25,27.6906178255,981.2996826172,86.8987252453,197.2031097412,4.1131043434,
2011,9,9,9,303,25,29.2290731136,981.4012451172,82.6891816104,197.4544067383,3.7430725098,
2011,9,9,10,355,26,30.294632917,981.1730957031,80.1496820357,196.0897674561,3.2317993641,
2011,9,9,11,524,26,30.9797065291,980.8063354492,78.8588847853,192.0272216797,2.7481658459,
2011,9,9,12,527,27,31.2174837442,980.2319335938,78.5562714044,187.4593963623,2.2314267159,
2011,9,9,13,430,26,31.102629058,979.4724731445,78.3869633034,180.6846618652,1.7606719732,
2011,9,9,14,622,26,30.7611521814,979.0656738281,78.7588661141,176.8392333984,1.5111734867,
2011,9,9,15,419,26,30.3702281313,979.266784668,79.5145331882,169.5005950928,1.4003924131,
2011,9,9,16,229,26,29.8161969241,979.4836425781,80.4766291204,155.4003753662,1.4512512684,
2011,9,9,17,156,25,29.2393703723,980.39453125,82.1905050982,147.5118408203,1.7118762732,
2011,9,9,18,9,25,28.7368865866,980.8386230469,84.6245591884,143.7843933105,2.0622358322,
2011,9,9,19,0,25,28.303066074,981.3408203125,86.5295217138,142.9479217529,2.3213055134,
2011,9,9,20,0,25,27.9464229005,981.7863769531,88.4520513895,143.5826416016,2.4623527527,
2011,9,9,21,0,25,27.5971206471,981.8721923828,90.3464889502,144.7814178467,2.5130767822,
2011,9,9,22,0,25,27.2298875441,981.5231323242,92.3431576473,147.6536712646,2.5197441578,
2011,9,9,23,0,25,26.8859361212,981.3311767578,94.2706667144,149.7347259521,2.4104917049,
2011,9,10,0,0,25,26.6045319257,980.8014526367,95.8426825735,149.2205200195,2.2378518581,
2011,9,10,1,0,25,26.3768379996,980.6931152344,97.0266605068,144.4534301758,2.0661940575,
2011,9,10,2,0,25,26.1819382697,980.5419921875,97.8825975034,138.7788391113,1.8845307827,
2011,9,10,3,0,25,26.216182817,980.5012817383,97.3883029855,132.6957702637,1.7562172413,
2011,9,10,4,0,25,26.2093612884,980.9124755859,97.4715902956,126.5706253052,1.7289797068,
2011,9,10,5,0,25,26.1998548894,981.6577148438,97.174139623,124.2295074463,1.7992159128,
2011,9,10,6,0,25,26.3096838284,982.6982421875,97.0612060958,124.1837158203,1.8781871796,
2011,9,10,7,112,26,27.3261637176,983.2823486328,94.2677169605,126.347366333,1.9251943827,
2011,9,10,8,311,26,28.7530122106,983.7715454102,89.0114376814,126.8072891235,2.1038620472,
2011,9,10,9,468,26,29.8491866442,983.4556274414,84.5989255603,123.1733703613,2.1564517021,
2011,9,10,10,501,27,30.6527915363,983.0426635742,81.488432064,120.7203979492,2.0995275974,
2011,9,10,11,650,27,31.1685533621,982.2811279297,79.7138132377,119.2731170654,1.9595025778,
2011,9,10,12,892,27,31.4004410061,981.6159057617,79.2029369822,117.7275238037,1.7122831345,
2011,9,10,13,571,27,31.3761502916,980.5485229492,79.2278164797,114.7683868408,1.4263244867,
