Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Temp
2010,10,20,17,37,17,30.2154195145,980.4630126953,46.1902677287,25.6704788208,2.3926644325,
2010,10,20,18,0,18,29.0925437719,980.4450073242,52.1792609414,35.2858695984,2.1653923988,
2010,10,20,19,0,18,28.3851113557,980.5893554688,54.2013853401,47.4959373474,1.7986184359,
2010,10,20,20,0,20,27.6566703764,980.9864501953,63.1354915401,69.1980361938,1.5098834038,
2010,10,20,21,0,18,27.0132684001,980.7330932617,61.3106613174,97.3460998535,1.4399080276,
2010,10,20,22,0,18,26.390472471,980.5723876953,61.3563090098,119.5220031738,1.5217349529,
2010,10,20,23,0,17,25.8281038642,980.0798339844,59.995481009,134.4494934082,1.5983211994,
2010,10,21,0,0,17,25.2779873189,979.6697387695,61.5717428429,145.6320800781,1.6662700176,
2010,10,21,1,0,17,24.7992367529,979.4296875,63.388389608,153.798248291,1.7294858694,
2010,10,21,2,0,17,24.3415635116,979.1557617188,65.2561330857,160.7989501953,1.7560681105,
2010,10,21,3,0,17,23.9402573593,979.1819458008,66.9732155535,165.4080505371,1.7566064596,
2010,10,21,4,0,17,23.552697481,979.206237793,68.6817272118,168.8128051758,1.7640752792,
2010,10,21,5,0,17,23.2451845622,979.8415527344,70.303116537,170.7901000977,1.8171437979,
2010,10,21,6,0,17,23.1344240293,980.1674804688,71.3241291644,172.4873046875,1.9065752029,
2010,10,21,7,99,18,25.0360556234,980.5346679688,66.6455806162,174.8118591309,1.9401308298,
2010,10,21,8,301,19,26.7294134573,980.9911499023,66.44133423,179.9543914795,1.7338703871,
2010,10,21,9,494,20,29.877133246,981.1513671875,58.5021164681,187.3297424316,1.4900034666,
2010,10,21,10,647,19,32.7937153945,980.4983520508,46.5413304712,199.5292663574,1.2496988773,
2010,10,21,11,740,19,34.5813632129,979.7843017578,40.2405324215,225.2413024902,1.1044918299,
2010,10,21,12,765,18,35.5440277963,978.3783569336,36.5279785514,254.5424041748,1.2101068497,
2010,10,21,13,719,17,35.6465726966,977.2479248047,35.3454614815,274.6605529785,1.4543437958,
2010,10,21,14,607,17,35.2454537901,976.0969238281,34.9488017155,294.0198669434,1.6460185051,
2010,10,21,15,442,16,34.4807211328,975.6156616211,34.9000449048,313.1177368164,1.7478163242,
2010,10,21,16,235,16,32.9039160187,975.4089355469,38.3245410533,330.8349304199,1.7453815937,
2010,10,21,17,33,16,30.6752370024,975.6130981445,43.6885542181,353.8891296387,1.6335257292,
2010,10,21,18,0,19,29.7754320426,975.9708862305,55.1272238822,20.5548095703,1.5305261612,
2010,10,21,19,0,17,29.0351482454,976.3716430664,50.5331373679,49.6208343506,1.4949141741,
2010,10,21,20,0,18,28.2929103245,976.7271118164,57.0734422294,78.9489898682,1.6482992172,
2010,10,21,21,0,16,27.634324679,976.497253418,51.5094907203,103.8652267456,1.9606515169,
2010,10,21,22,0,17,26.9085533651,976.2310180664,56.7661982004,121.9692459106,2.2812712193,
2010,10,21,23,0,16,26.3249427271,975.5378417969,55.0120734874,135.7981719971,2.4930973053,
2010,10,22,0,0,17,25.7018440165,975.1212158203,59.4257996736,147.7821960449,2.5981047153,
2010,10,22,1,0,16,25.2292335176,974.788269043,58.3937717919,159.731842041,2.6238892078,
2010,10,22,2,0,16,24.7055159496,974.6370239258,62.0522650003,172.8030853271,2.8661737442,
2010,10,22,3,0,16,24.2619601052,974.0863647461,61.8391883831,183.6652679443,3.155351162,
2010,10,22,4,0,16,23.7940827499,974.1890258789,64.4684602495,192.1463470459,3.3431458473,
2010,10,22,5,0,16,23.379916702,974.2274780273,65.6436248933,198.4057006836,3.4783780575,
2010,10,22,6,0,16,23.1169400493,974.4127807617,67.4119455493,202.5508117676,3.5873632431,
2010,10,22,7,93,17,24.3227369827,974.7426147461,67.3132871005,204.6446533203,3.5000185966,
2010,10,22,8,284,18,26.3014970694,975.0852661133,63.8451606009,206.4866638184,2.8394396305,
2010,10,22,9,496,20,29.2763468384,975.4055175781,57.572637379,209.9977722168,2.3610193729,
2010,10,22,10,640,18,32.4928074283,975.2399902344,43.5813922136,223.9798126221,2.3493084908,
2010,10,22,11,744,17,34.6248679154,975.0455932617,35.1718593362,242.0408630371,2.2983498573,
2010,10,22,12,754,15,35.9297264024,974.0517578125,29.3431223238,259.4257202148,2.4273724556,
2010,10,22,13,719,13,36.2656404681,973.0377197266,26.4459566693,271.1005859375,2.5857462883,
2010,10,22,14,606,12,35.9900924161,972.5081787109,24.9563189624,279.864074707,2.6541881561,
2010,10,22,15,435,12,34.8192174222,972.115234375,25.465324122,290.8551025391,2.640450716,
2010,10,22,16,229,12,33.0239509783,972.688659668,28.589680661,310.3585205078,2.6704156399,
2010,10,22,17,26,12,30.2916937684,973.2138671875,34.39510712,334.8963317871,3.0503599644,
2010,10,22,18,0,12,28.7699117216,974.0994262695,36.697296135,352.8362426758,3.6421816349,
2010,10,22,19,0,12,27.4012264851,974.8120117188,39.7538511152,5.1339035034,4.0066475868,
2010,10,22,20,0,12,26.2263758605,975.6707763672,43.5656207397,14.2399215698,3.9913327694,
2010,10,22,21,0,13,25.320410161,976.0156860352,48.0466202532,22.3344955444,3.6351919174,
2010,10,22,22,0,14,24.5961454784,975.8876342773,52.9947318063,30.3150138855,3.1401503086,
2010,10,22,23,0,15,23.9319429563,975.5923461914,59.2034689796,35.9258995056,2.6952588558,
2010,10,23,0,0,16,23.3445123392,975.8455200195,65.9962261307,36.9408607483,2.4117538929,
2010,10,23,1,0,17,22.8083420538,975.9916992188,72.4695482428,33.4076652527,2.3464610577,
2010,10,23,2,0,18,22.2769326339,975.9461669922,78.7461844304,26.5421905518,2.3234226704,
2010,10,23,3,0,19,21.8067984698,976.3262329102,84.3519616123,18.7009124756,2.4395449162,
2010,10,23,4,0,19,21.3555003334,976.7313842773,89.943779186,12.7419891357,2.7074639797,
2010,10,23,5,0,20,20.8936259881,977.4029541016,95.3036067406,9.7264022827,3.0330297947,
2010,10,23,6,0,20,20.6388996596,977.9230957031,98.9925277728,8.7830429077,3.2781982422,
2010,10,23,7,90,20,22.2755987698,978.651550293,90.3232597446,8.8874359131,3.1619844437,
2010,10,23,8,286,20,24.94094012,979.6891479492,78.2938889066,10.1323852539,3.0261044502,
2010,10,23,9,473,21,27.0972405213,980.1063232422,70.4235745158,10.9248428345,2.9586002827,
2010,10,23,10,627,20,29.384969455,980.00390625,57.8958414742,10.1486053467,3.012556076,
2010,10,23,11,723,19,31.1511536869,979.5924682617,49.1414346561,7.7513122559,2.872692585,
2010,10,23,12,756,17,32.367340005,978.9155883789,41.6961471037,5.2835006714,2.7778782845,
2010,10,23,13,722,16,32.9062953441,978.3424072266,36.9779787701,4.4270782471,2.6598064899,
2010,10,23,14,614,15,32.7139567133,978.0830078125,34.4455097151,9.3723831177,2.7858138084,
2010,10,23,15,429,13,31.8876077668,977.7253417969,33.667544605,16.5848922729,3.0642325878,
2010,10,23,16,224,13,30.1559930128,977.9174804688,36.3345383089,23.3140182495,3.2335810661,
2010,10,23,17,27,13,27.7917580372,978.4750366211,42.0300731853,30.6243629456,3.3279805183,
2010,10,23,18,0,13,26.4121973028,979.0133666992,45.5856665693,39.0734939575,3.4510200024,
2010,10,23,19,0,13,25.5627897058,979.5706787109,47.96597193,48.079246521,3.3777248859,
2010,10,23,20,0,13,24.7311883428,979.9161376953,50.5663196976,58.2645950317,3.1820631027,
2010,10,23,21,0,13,23.9324146943,980.1206665039,53.7670725987,70.0273666382,2.990691185,
2010,10,23,22,0,13,23.2319235289,980.1137084961,55.7222798311,81.390953064,2.8485696316,
2010,10,23,23,0,14,22.580618622,979.9470825195,58.6220062362,91.0135269165,2.7306380272,
