Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2014,10,11,11,30,272,629,772,3,39.3452883444,981.2669067383,10.6674842206,315.6317138672,1.5550079346
2014,10,11,12,30,270,653,805,2,40.1332681198,980.1119995117,9.541724015,324.2691040039,1.6684896946
2014,10,11,13,30,260,642,763,0,40.3726931295,979.1810913086,8.7260164964,331.531829834,1.742038846
2014,10,11,14,30,254,572,648,0,39.712157058,978.3942260742,8.7748950184,340.2645874023,1.842246294
2014,10,11,15,30,217,480,479,0,38.4148376583,978.3422241211,9.1023561054,350.193572998,1.9985778332
2014,10,11,16,30,179,252,270,0,36.3443735691,978.6744995117,10.227524795,0.9957199097,2.107149601
2014,10,11,17,30,49,6,50,2,33.0159656862,978.8922729492,14.4539586183,14.0238494873,2.1807415485
2014,10,11,18,30,0,0,0,4,31.4164576342,979.8317871094,17.7025831396,28.0259819031,2.3682668209
2014,10,11,19,30,0,0,0,3,30.50239289,980.5961303711,17.4457204539,41.6147422791,2.5967504978
2014,10,11,20,30,0,0,0,3,29.6548904733,981.1812133789,18.7860626643,52.9856948853,2.6676337719
2014,10,11,21,30,0,0,0,3,28.8376612475,981.4417114258,20.4474372604,64.8462677002,2.6387095451
2014,10,11,22,30,0,0,0,4,28.0504126485,981.5180053711,22.1562926806,76.6619186401,2.629001379
2014,10,11,23,30,0,0,0,4,27.311595446,981.1337890625,23.8082892648,87.8405685425,2.6352510452
2014,10,12,0,30,0,0,0,5,26.5897450182,981.028503418,25.3465864525,98.2057876587,2.6319184303
2014,10,12,1,30,0,0,0,5,25.9186342031,980.8065185547,26.7160947398,107.6342849731,2.5781443119
2014,10,12,2,30,0,0,0,5,25.2831265821,980.5594482422,28.2819108433,115.2099304199,2.6346893311
2014,10,12,3,30,0,0,0,6,24.6034905431,980.4048461914,30.3251926088,121.5590286255,2.6470849514
2014,10,12,4,30,0,0,0,6,23.942378674,980.6878662109,32.7146061761,127.6274261475,2.5568695068
2014,10,12,5,30,0,0,0,7,23.3562923759,981.4079589844,35.5666154478,133.286895752,2.4046206474
2014,10,12,6,30,0,0,0,8,23.1575235855,981.9592895508,38.8062517331,137.3022460938,2.2487373352
2014,10,12,7,30,90,89,107,9,25.6025144768,982.86328125,36.7554512578,138.5982055664,2.0376646519
2014,10,12,8,30,176,351,316,10,29.0052181037,983.2215576172,31.8748939166,135.8176269531,1.4374927282
2014,10,12,9,30,217,512,512,9,34.0941802893,983.4842529297,21.7645481248,98.4827346802,1.312453866
2014,10,12,10,30,259,582,673,6,37.1984606552,983.1146850586,15.2258280608,75.5495910645,1.7550470829
2014,10,12,11,30,264,643,773,5,38.7002468296,982.7595214844,12.9560632482,68.0238342285,1.8889245987
2014,10,12,12,30,273,645,799,4,39.3446986454,981.8336791992,11.8147712079,61.2700881958,1.9995797873
2014,10,12,13,30,273,640,771,3,39.4280605503,981.0818481445,11.0323138588,55.504611969,2.1364324093
2014,10,12,14,30,252,572,644,2,38.6750097913,980.6586303711,10.9678863526,51.2877311707,2.3197300434
2014,10,12,15,30,216,477,474,2,37.4269336441,980.4163208008,11.2496474112,49.4329414368,2.4939780235
2014,10,12,16,30,171,260,264,2,35.4321054775,980.2312011719,12.3892746308,50.1867294312,2.6147964001
2014,10,12,17,30,54,13,56,2,32.5196748253,980.6058349609,15.3216505217,49.4395294189,2.7522373199
2014,10,12,18,30,0,0,0,3,30.6719063258,981.1157836914,17.7948290163,50.7248153687,3.1552710533
2014,10,12,19,30,0,0,0,3,29.8286009722,981.9639892578,18.6183458565,54.2424201965,3.4627585411
2014,10,12,20,30,0,0,0,3,29.028522872,982.3508300781,20.009600905,58.3975906372,3.5924150944
2014,10,12,21,30,0,0,0,4,28.2102235333,982.7545776367,21.5521265916,64.0772628784,3.6010205746
2014,10,12,22,30,0,0,0,4,27.4023602076,982.6224975586,23.1125914949,70.6178741455,3.5545339584
2014,10,12,23,30,0,0,0,4,26.6513760877,982.3719482422,24.6921004109,78.2956085205,3.4480292797
2014,10,13,0,30,0,0,0,5,25.9582715717,981.9613647461,26.4526180403,86.9793701172,3.2906858921
2014,10,13,1,30,0,0,0,5,25.3155641698,981.5048217773,28.7864057578,95.0887756348,3.1371862888
2014,10,13,2,30,0,0,0,7,24.6791394759,981.037109375,32.3640636117,101.6085281372,2.9330689907
2014,10,13,3,30,0,0,0,8,24.0840648549,981.0770263672,37.0254775283,105.9326934814,2.668555975
2014,10,13,4,30,0,0,0,9,23.6188142555,981.6063842773,41.7266993624,107.9476776123,2.44059515
2014,10,13,5,30,0,0,0,10,23.138634403,981.9861450195,46.2966749973,108.4618988037,2.2907583714
2014,10,13,6,30,0,0,0,11,23.1147663413,982.7723388672,49.1152888384,109.1603012085,2.2088201046
2014,10,13,7,30,90,76,105,12,25.4130458707,983.3775024414,44.2809016434,109.7696609497,1.9779191017
2014,10,13,8,30,187,318,313,12,28.9459409056,983.5982666016,36.529089141,111.0830078125,1.5048584938
2014,10,13,9,30,222,504,511,11,34.1731391477,983.6692504883,24.570392811,120.4859390259,1.530297637
2014,10,13,10,30,254,584,667,10,37.0997585389,983.065612793,20.2627987984,131.395690918,1.4388701916
2014,10,13,11,30,270,625,763,10,38.8782580152,982.0471801758,18.031732242,141.6912536621,1.3133671284
2014,10,13,12,30,274,635,790,9,39.8607266161,980.9069213867,16.7385964436,153.4018859863,1.0914951563
2014,10,13,13,30,267,617,745,9,40.1531014161,979.7251586914,16.0710072493,168.9136352539,0.8172739744
2014,10,13,14,30,247,568,634,9,39.4910416565,979.0797729492,16.4284052332,193.1770324707,0.2208519429
2014,10,13,15,30,212,475,467,9,37.9535049819,978.9426269531,17.6018909848,358.08984375,0.5610204935
2014,10,13,16,30,168,274,265,8,35.7399583316,979.1993408203,19.4678316873,9.0375061035,1.3395026922
2014,10,13,17,30,50,9,52,9,33.0654145399,979.7553100586,22.8759383149,16.23828125,2.26491189
2014,10,13,18,30,0,0,0,8,31.3200113278,980.6312255859,25.0019977815,23.294418335,3.2717382908
2014,10,13,19,30,0,0,0,8,30.4100141488,981.57421875,25.0922003513,30.5861358643,4.0613207817
2014,10,13,20,30,0,0,0,7,29.373208404,982.2130126953,25.0434637346,39.0148048401,4.3536257744
2014,10,13,21,30,0,0,0,6,28.2965419642,982.7257080078,25.7780708502,46.7318916321,4.3689332008
2014,10,13,22,30,0,0,0,6,27.373081046,982.8168334961,26.6735285498,52.4039916992,4.2508387566
2014,10,13,23,30,0,0,0,6,26.4148812018,982.4622192383,27.7749916487,57.5014419556,4.023244381
2014,10,14,0,30,0,0,0,6,25.5129629767,982.4305419922,29.123315479,62.9456291199,3.7632319927
2014,10,14,1,30,0,0,0,6,24.6917676367,982.3295898438,31.004912773,68.8045120239,3.4890120029
2014,10,14,2,30,0,0,0,6,23.8999992706,982.5685424805,33.4057631576,72.3174209595,3.0950582027
2014,10,14,3,30,0,0,0,7,23.2064815978,982.8091430664,36.0529711996,70.8940582275,2.6929044724
2014,10,14,4,30,0,0,0,7,22.65784119,983.0118408203,38.8742484277,66.114151001,2.4332418442
2014,10,14,5,30,0,0,0,8,22.215143054,983.6505126953,41.5972300076,62.3855895996,2.3625528812
2014,10,14,6,30,0,0,0,9,22.1563731779,984.2272949219,43.6164379505,61.520324707,2.3764326572
2014,10,14,7,30,70,15,73,9,24.2205757509,984.7752685547,39.8241820309,60.4127578735,2.1497447491
2014,10,14,8,30,190,230,281,11,28.0856283892,984.8758544922,36.5739433941,62.8661613464,2.1491744518
2014,10,14,9,30,290,208,409,12,32.0946285304,984.693359375,31.1514921659,72.0475006104,2.0297605991
2014,10,14,10,30,295,497,645,12,34.8197852777,984.3889770508,25.9829399053,76.9806518555,1.3388793468
2014,10,14,11,30,378,340,645,11,36.8103518564,983.712097168,22.3358993185,67.1662521362,0.5532470345
2014,10,14,12,30,274,633,785,11,37.8623966922,982.6752929688,20.253898904,322.2019042969,0.3534056842
2014,10,14,13,30,377,253,572,10,38.0623907468,981.607421875,19.3043985509,299.6456604004,0.8903269768
2014,10,14,14,30,324,326,545,10,37.3261970573,980.8985595703,19.4061622916,307.5303955078,1.3811342716
2014,10,14,15,30,211,473,463,9,35.8292936953,981.1876831055,20.3088926717,317.1831970215,1.8141543865
2014,10,14,16,30,167,263,259,9,33.734072571,981.5360107422,21.9190593419,324.9819335938,2.1325910091
2014,10,14,17,30,45,19,48,8,31.2167714019,982.2689819336,25.0380244238,333.3186645508,2.4763100147
2014,10,14,18,30,0,0,0,8,29.4296146557,983.0382080078,27.9042166312,341.9336547852,3.0259058475
2014,10,14,19,30,0,0,0,9,28.4686469383,984.2111206055,29.6579066885,348.5795593262,3.4100077152
2014,10,14,20,30,0,0,0,9,27.6331362323,985.0602416992,31.1540852668,355.2517700195,3.4015986919
2014,10,14,21,30,0,0,0,9,26.8116564104,985.6922607422,33.1712297837,3.4947280884,3.1760194302
2014,10,14,22,30,0,0,0,9,26.0870381092,985.6406860352,35.0883597244,13.525642395,2.9339492321
2014,10,14,23,30,0,0,0,9,25.3918996385,985.5576171875,37.1968877481,25.4345855713,2.6820571423
2014,10,15,0,30,0,0,0,10,24.7526375811,985.4088134766,39.5980852158,39.2105827332,2.4170000553
2014,10,15,1,30,0,0,0,10,24.2235462249,985.2109375,41.9302087601,54.3113937378,2.1738452911
2014,10,15,2,30,0,0,0,10,23.6949101149,985.2924194336,44.5526536194,63.8341560364,2.1307423115
2014,10,15,3,30,0,0,0,11,23.201535396,985.2933349609,47.285012201,68.4191894531,2.1328601837
2014,10,15,4,30,0,0,0,11,22.7456259444,985.6953125,50.1404666691,71.8854522705,2.0758268833
2014,10,15,5,30,0,0,0,12,22.2986142837,986.1264038086,53.1887314791,73.4097366333,1.9814261198
2014,10,15,6,30,0,0,0,12,22.20083554,986.8120727539,55.3556374472,71.3715820313,1.9023611546
2014,10,15,7,30,87,89,104,13,24.4001133812,987.6954345703,49.3769624454,64.665725708,1.7477024794
2014,10,15,8,30,173,350,310,12,28.2760293041,988.3370361328,37.4693135576,55.6708068848,1.5866343975
2014,10,15,9,30,217,498,500,11,31.7377039161,988.5703735352,28.7584445717,45.7375526428,1.4153215885
2014,10,15,10,30,262,567,659,10,33.8535156342,988.4108886719,24.5790677225,31.3773422241,1.3015384674
2014,10,15,11,30,269,625,757,10,35.2639541725,987.6062011719,21.6280751698,19.4943389893,1.3680021763
2014,10,15,12,30,279,623,780,9,36.0717519746,986.7369384766,19.4422549314,12.2707824707,1.5230641365
2014,10,15,13,30,265,618,739,8,36.2259267793,985.8053588867,18.1669008373,8.7614212036,1.7077624798
2014,10,15,14,30,252,559,628,7,35.5215044329,985.2611694336,17.9303183025,5.9011077881,2.0168135166
2014,10,15,15,30,213,468,460,6,34.087317485,985.0637207031,18.6632554202,4.491645813,2.4559876919
2014,10,15,16,30,171,214,245,6,32.0222346105,985.1778564453,20.5359789758,4.7625732422,2.8869287968
2014,10,15,17,30,43,5,44,6,29.7108857031,985.8005371094,23.3511225467,5.9328613281,3.2880969048
2014,10,15,18,30,0,0,0,7,28.0009451623,986.5022583008,26.6184801446,8.9087371826,3.7578773499
2014,10,15,19,30,0,0,0,7,27.0633530342,987.2790527344,28.5272641255,14.1045455933,3.9800932407
2014,10,15,20,30,0,0,0,7,26.1650898369,987.5972290039,30.5253544772,18.9594802856,3.7953734398
2014,10,15,21,30,0,0,0,7,25.3351011437,987.8751220703,32.4186335741,24.1280288696,3.457862854
2014,10,15,22,30,0,0,0,7,24.5785151801,987.4934692383,34.2169320469,30.0778694153,3.1332960129
2014,10,15,23,30,0,0,0,7,23.9464762146,987.0625,35.8414460831,36.3104934692,2.8378083706
2014,10,16,0,30,0,0,0,8,23.3449273519,986.8971557617,37.4858047096,42.3001976013,2.586350441
2014,10,16,1,30,0,0,0,8,22.8282129186,986.4046630859,38.9460713397,48.5635986328,2.3749256134
2014,10,16,2,30,0,0,0,8,22.3134886865,986.2520751953,40.295628225,54.7074012756,2.2249884605
2014,10,16,3,30,0,0,0,8,21.812619435,985.8501586914,41.5568897388,60.2164344788,2.0788538456
2014,10,16,4,30,0,0,0,8,21.3267623142,985.7305297852,42.7869540988,64.4711608887,1.8564074039
2014,10,16,5,30,0,0,0,8,20.9136431915,986.298034668,43.8879718388,67.1667633057,1.5831745863
2014,10,16,6,30,0,0,0,8,20.8186989428,986.8972167969,44.7649905112,68.4189529419,1.3199079037
2014,10,16,7,30,85,67,98,9,23.2407389686,987.755859375,41.175935815,65.5653915405,1.0580252409
2014,10,16,8,30,184,305,303,7,26.6857778092,988.2474975586,30.6549682057,59.3887176514,0.7675669193
2014,10,16,9,30,214,509,501,6,31.0684707832,988.4464111328,21.9153545074,9.467880249,0.989877224
2014,10,16,10,30,247,593,660,6,33.3741606282,988.2838134766,18.5730088192,359.6176147461,1.2092301846
2014,10,16,11,30,270,619,751,5,34.8240914034,987.4890136719,16.5849117953,357.7947387695,1.3586820364
2014,10,16,12,30,270,639,781,5,35.608743764,986.6102905273,15.2884619185,356.7133789063,1.5381888151
2014,10,16,13,30,268,609,732,4,35.7113577724,985.6074829102,14.6257612325,355.8778076172,1.6751155853
2014,10,16,14,30,253,550,621,4,35.1113506701,985.1514892578,14.6255117463,357.9227294922,1.8583393097
2014,10,16,15,30,214,457,454,3,33.8384808856,984.6329956055,15.1949204929,2.2535400391,2.0359969139
2014,10,16,16,30,171,224,247,3,31.940868359,984.4649047852,16.6680084445,7.1904602051,2.1251187325
2014,10,16,17,30,41,0,41,3,29.2636391722,984.6072387695,19.9574820524,12.5459823608,2.2219028473
2014,10,16,18,30,0,0,0,4,27.6882670349,985.1732788086,23.2629323324,19.5752334595,2.3969140053
2014,10,16,19,30,0,0,0,4,26.9736858973,985.5971069336,23.5020153543,27.4465141296,2.5322358608
2014,10,16,20,30,0,0,0,4,26.2591393957,985.8906860352,24.622977633,34.3795471191,2.5562601089
2014,10,16,21,30,0,0,0,4,25.6048811157,986.2530517578,25.781525352,41.4531478882,2.4523258209
2014,10,16,22,30,0,0,0,4,24.9978345279,986.2649536133,26.9471995439,49.3016891479,2.2690954208
2014,10,16,23,30,0,0,0,4,24.4307874087,986.4660644531,28.1040376917,59.3216247559,2.0291242599
2014,10,17,0,30,0,0,0,4,23.9792457605,986.2346801758,29.0512686141,73.4551391602,1.8055006266
2014,10,17,1,30,0,0,0,4,23.5208501456,985.9509887695,29.919481796,90.7857513428,1.6681582928
2014,10,17,2,30,0,0,0,4,22.97956971,985.6364746094,30.8009267141,108.0127258301,1.6664891243
2014,10,17,3,30,0,0,0,4,22.5167626836,985.3503417969,31.4697503669,119.4112472534,1.7364413738
2014,10,17,4,30,0,0,0,4,22.0698551921,985.455078125,32.1805675002,125.266456604,1.7969969511
