date,Wind Speed,Temperature,Pressure,Relative Humidity,Wind Direction,Dew Point,Solar Radiation
2011-06-17 08:00:00,5.022582531,33.0585753986,971.149597168,55.3692594663,226.897827148,22,415
2011-06-17 09:00:00,4.7146553993,35.5495547753,971.2421875,46.5568594086,228.190704346,22,565
2011-06-17 10:00:00,4.376636982,37.9823900921,970.925964356,38.9361890976,229.618041992,21,738
2011-06-17 11:00:00,4.048640728,40.004820512,970.077270508,33.4358043716,230.528152466,20,852
2011-06-17 12:00:00,3.747323513,41.5930289941,969.186157227,29.7003979142,230.206115723,20,913
2011-06-17 13:00:00,3.585226059,42.510194753,967.892089844,27.2287918212,228.80531311,19,889
2011-06-17 14:00:00,3.6767573357,42.6719187178,967.138122559,25.9460089509,227.628890991,19,799
2011-06-17 15:00:00,3.8524971008,42.0660942634,966.499145508,26.0167767832,227.125213623,18,654
2011-06-17 16:00:00,4.0512671471,40.7663007311,966.686279297,27.4418834891,226.537628174,18,471
2011-06-17 17:00:00,4.3426780701,38.904010215,967.029907227,30.5227131028,225.263839722,18,272
2011-06-17 18:00:00,4.6524620056,36.9364532536,968.122619629,34.9820572153,224.039199829,18,80
2011-06-17 19:00:00,4.8876595497,35.6100141157,969.091491699,39.5065345911,223.052108765,19,0
2011-06-17 20:00:00,5.1509976387,34.5457406265,970.169067383,44.1799773976,220.59602356,20,0
2011-06-17 21:00:00,5.2991085052,33.5228136232,970.551391602,49.0189966088,217.938110352,21,0
2011-06-17 22:00:00,5.2553920746,32.5481260255,970.749267578,53.7563080137,216.272338867,21,0
2011-06-17 23:00:00,5.2757363319,31.5977961245,970.621826172,58.5905778862,216.278640747,22,0
2011-06-18 00:00:00,5.236000061,30.6830432338,970.102722168,63.3364540906,217.23034668,22,0
2011-06-18 01:00:00,5.209692955,29.9943918706,969.498413086,66.5106404393,218.744613647,23,0
2011-06-18 02:00:00,4.8465194702,29.6492880074,969.522766113,67.2122687262,219.779998779,22,0
2011-06-18 03:00:00,4.633597374,29.5675200652,969.379821777,66.6113069077,220.074264526,22,0
2011-06-18 04:00:00,4.2587585449,29.446748613,969.626953125,66.5333267162,219.839050293,22,0
2011-06-18 05:00:00,3.8519964218,29.3968250641,970.256958008,66.7775288234,219.917770386,22,0
2011-06-18 06:00:00,4.010222435,30.5314050209,971.11138916,61.6956729466,222.533996582,22,38
2011-06-18 07:00:00,4.0257921219,32.6135996877,971.416381836,53.4880493732,225.640609741,21,199
2011-06-18 08:00:00,3.8691797256,35.0330169032,971.657165527,45.3322318568,227.242858887,21,388
