Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,10,23,12,19,33.0362789068,984.1439819336,46.3341796998,251.1123046875,1.4123837948,790,
2011,10,23,13,19,33.0958505501,983.5453491211,45.6751303561,257.0100097656,1.5801529884,745,
2011,10,23,14,19,32.6777465629,982.9187011719,46.0648974834,261.8655700684,1.7211726904,631,
2011,10,23,15,19,31.8397690546,982.5795898438,47.9862920669,265.7431335449,1.8523164988,461,
2011,10,23,16,18,30.7220085571,982.7581176758,47.6206027828,269.396270752,1.9832947254,253,
2011,10,23,17,18,28.5588940636,983.0778198242,56.1910376807,272.6185302734,1.9928486347,37,
2011,10,23,18,18,27.5362910422,983.7271118164,59.1579517553,277.5340576172,2.0570785999,0,
2011,10,23,19,18,26.769117217,984.2681884766,59.3385608034,284.7027282715,2.1632454395,0,
2011,10,23,20,17,25.95290406,984.6097412109,59.6494947388,291.9734191895,2.2929034233,0,
2011,10,23,21,16,25.1121159183,984.9592895508,60.3215075235,301.3988647461,2.385894537,0,
2011,10,23,22,16,24.2886830361,984.8298339844,61.2923748287,313.0634765625,2.4495651722,0,
2011,10,23,23,15,23.5637019689,984.5056152344,62.3265326769,324.515045166,2.4921205044,0,
2011,10,24,0,15,22.9254518587,984.1309814453,63.5160103914,334.1808776855,2.4596097469,0,
2011,10,24,1,15,22.3740188258,983.9350585938,64.9952033889,342.525177002,2.3217308521,0,
2011,10,24,2,15,21.9122781061,983.8334960938,66.9668017309,346.8757019043,2.0447034836,0,
2011,10,24,3,15,21.5360629317,983.6630249023,69.8548912807,348.6403198242,1.6781848669,0,
2011,10,24,4,16,21.231217816,983.7561645508,73.408175275,349.3480529785,1.2698225975,0,
2011,10,24,5,17,20.8941330686,984.1752929688,78.6383580936,347.5593261719,0.8448019028,0,
2011,10,24,6,18,20.8234714476,984.6555786133,86.9356887652,334.3032836914,0.4640477002,0,
2011,10,24,7,19,22.3500071132,985.1575317383,84.0196467937,282.1408081055,0.288495481,102,
2011,10,24,8,17,24.2056514642,985.9158325195,64.2155340875,258.5715942383,0.3515873849,313,
2011,10,24,9,18,27.0753521458,986.0584106445,58.27549705,262.0923461914,0.5045642853,510,
2011,10,24,10,17,30.4103434583,985.8801269531,46.4712362387,286.6558227539,1.3254413605,666,
2011,10,24,11,17,31.6134546132,985.3619995117,43.3959542292,287.1723022461,1.7840332985,760,
2011,10,24,12,17,32.0343403732,984.6793823242,42.1490080823,289.0440673828,2.1244819164,795,
2011,10,24,13,17,31.9787166566,984.0803833008,41.7623557358,292.6774902344,2.3910489082,747,
2011,10,24,14,17,31.4949521713,983.3295288086,42.375113286,297.7099914551,2.5734651089,631,
2011,10,24,15,17,30.654053067,983.2933349609,45.787797471,304.5510253906,2.6083714962,459,
2011,10,24,16,18,29.2454831633,983.1178588867,53.6864214794,312.9983520508,2.4272150993,248,
2011,10,24,17,18,27.2520086685,983.315612793,59.6184682601,321.7742614746,2.504534483,38,
2011,10,24,18,18,26.1041467339,983.6456298828,62.375774659,331.833770752,2.6606831551,0,
2011,10,24,19,18,25.3341382924,984.1173095703,63.9144533957,341.543548584,2.7424740791,0,
2011,10,24,20,17,24.5800719449,984.2974243164,66.0897499379,351.2898864746,2.5999817848,0,
2011,10,24,21,17,23.8749271891,984.5303955078,68.4663163733,0.3859405518,2.3178837299,0,
2011,10,24,22,17,23.2377933541,984.3373413086,70.691832752,7.6112823486,2.023781538,0,
2011,10,24,23,17,22.6623591214,984.1427001953,72.9817333907,13.6802139282,1.7268627882,0,
2011,10,25,0,17,22.1558734058,983.7916259766,75.8349229785,18.5546646118,1.4490083456,0,
2011,10,25,1,17,21.6868832859,983.5540161133,78.7223007983,20.8116455078,1.2358958721,0,
2011,10,25,2,18,21.2294109087,983.4382324219,81.9623794599,15.6098022461,0.9953517914,0,
2011,10,25,3,18,20.8515532176,983.4450073242,84.1285996548,6.7576141357,0.8185628653,0,
2011,10,25,4,18,20.5162421058,983.6066894531,88.3556595885,1.9187545776,0.6603313684,0,
2011,10,25,5,18,20.222974617,983.8516235352,89.7211975581,357.1554260254,0.4795853198,0,
2011,10,25,6,18,20.0834004779,984.3754272461,93.1554540939,348.2712402344,0.2985548377,0,
2011,10,25,7,20,21.7641886172,985.0419311523,93.5145612734,323.2156066895,0.1028432399,95,
2011,10,25,8,17,23.7200914696,985.3867797852,67.5391347859,198.4298400879,0.1220329106,304,
2011,10,25,9,18,26.7138789425,985.7703857422,60.8604820124,239.7919464111,0.3666392863,501,
2011,10,25,10,18,29.8223172082,985.4071655273,49.536600195,265.1937866211,1.041626215,650,
2011,10,25,11,18,31.0381128107,984.536315918,46.510741685,270.2715454102,1.4713987112,748,
2011,10,25,12,18,31.5646629443,983.6454467773,44.6793367348,277.6379394531,1.837089777,781,
2011,10,25,13,17,31.6569382762,983.1162109375,43.4425399429,286.1228942871,2.1510021687,746,
2011,10,25,14,17,31.2456655571,982.5650024414,42.9759612316,298.7602539063,2.4026374817,630,
2011,10,25,15,17,30.3971817793,982.1619873047,45.0172809854,311.4028625488,2.5118017197,448,
2011,10,25,16,18,28.9797303997,982.42578125,52.1227182315,323.3114013672,2.5130615234,243,
2011,10,25,17,17,26.6835972054,982.792175293,56.0516733776,332.9946594238,2.7031378746,35,
2011,10,25,18,16,25.3968555135,983.3798828125,56.8782809072,342.1368408203,2.9497852325,0,
2011,10,25,19,15,24.464280907,983.9376220703,57.1991797682,350.8737792969,3.1548991203,0,
2011,10,25,20,14,23.5882552276,984.5590209961,58.4231920019,358.9998474121,3.2559642792,0,
2011,10,25,21,14,22.7863340766,984.8167114258,60.1097657326,7.3469924927,3.3222672939,0,
2011,10,25,22,14,22.0534203531,985.2390136719,62.1236645723,14.3556213379,3.3830835819,0,
2011,10,25,23,14,21.3931731503,985.5098876953,64.1895704676,19.8250656128,3.4244952202,0,
2011,10,26,0,14,20.798583527,985.6364135742,66.4394198358,24.9009399414,3.4114334583,0,
2011,10,26,1,14,20.2344674403,985.6376342773,68.7353742138,29.8120002747,3.3741540909,0,
2011,10,26,2,14,19.7288000074,985.4591674805,70.8423708253,35.1124572754,3.2593317032,0,
2011,10,26,3,14,19.2520061277,985.4462280273,73.0110692996,40.4167480469,3.1015076637,0,
2011,10,26,4,14,18.8232830112,985.4291992188,74.6901782582,46.3189277649,2.9248042107,0,
2011,10,26,5,14,18.4459082177,985.9434204102,76.2069853208,53.4179039001,2.7464518547,0,
2011,10,26,6,14,18.2879899979,986.2162475586,77.5833441932,61.2113876343,2.5798482895,0,
2011,10,26,7,15,20.1963335485,986.827331543,74.7293130417,69.4080734253,2.322602272,92,
2011,10,26,8,16,22.2218950691,987.229675293,69.737159536,75.4270172119,1.7919126749,301,
2011,10,26,9,18,25.2711648762,987.4423217773,66.8052465435,74.8907623291,1.29212749,491,
2011,10,26,10,18,28.7632955929,987.4049072266,54.4208239679,70.8453674316,1.1422868967,645,
2011,10,26,11,17,30.7186313838,986.4306640625,46.5261267459,60.7337646484,0.8606655002,743,
2011,10,26,12,17,31.4420929963,985.4655151367,44.6801100088,26.6823921204,0.6639047861,775,
2011,10,26,13,17,31.4624338722,984.8458862305,44.1852700305,0.9059143066,0.8623072505,748,
2011,10,26,14,17,30.9155452031,984.1219482422,44.7570417628,356.5297851563,1.2020629644,629,
2011,10,26,15,17,29.877240404,984.1198730469,46.992053774,359.2300415039,1.5101289749,451,
